,식단이름,만개의레시피이름,재료,만드는순서,만드는이미지
1,전어젓,전어속젓 쌈밥 도시락,[재료] 전어속젓 현미밥 동원 복숭아 캔 1개 과일 약간 케일 로시디 생채 머위 다홍채 쌈배추,"['전어 손질하기:\n중간 크기의 전어는 비늘을 긁어 씻고 배쪽에 칼집을 내서 내장을 꺼내줍니다. 내장은 소금을 넣어 냉장고에 넣어 숙성시켜주세요.', '전어속젓:\n헌미밥에 소금 간을 약간 하고 깨소금과 들기름으로 비벼주고요.', '끓는 물에 소금을 약간 넣고 데쳐낸 채소들은 찬물로 헹궈준 뒤 물기가 빠지도록 잠시 둡니다.', '물기 제거한 생채를 펼쳐서 밥을 조금 올리고 전어속젓을 올려서 돌돌 말아줍니다. 줄기 부분은 칼로 어슷하게 썰어서 잘 말아지도록 합니다.', '잎이 넓은 생채잎이나 케일잎은 돌돌 말아 싸주면 되는데 다홍채나 로시디처럼 잎이 약간 적은 것은 밥이 위로 보이도록 동글게 말아주고 위에 전어속젓을 올려주면 보기에도 예쁘고 깔끔합니다.']","['http://recipe1.ezmember.co.kr/cache/recipe/2015/04/08/c8b3a90431ec3b01a75b98b21f993a021.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/04/08/b93e0881c5b637ae3edbd78b3b4bed5c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/04/08/112febf689cbbf240bf69b6f30d9c45e1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/04/08/86cca44667953cd0bf1768da81dc378e1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/04/08/9b0ab864b0a0484f4fc5711ebb3f15a51.jpg']"
2,땅콩조림,땅콩조림,[땅콩조림] 생땅콩 200g 굵은소금 1작은술 [양념장] 간장 2큰술 설탕 0.5큰술 조청(쌀엿) 2큰술 들기름 1작은술 물 300-400ml(땅콩 잠길정도),"['생땅콩은 깨끗한 물에 2번정도 씻어서 준비합니다.', '냄비에 씻은 땅콩과 땅콩이 잠길정도의 물을 붓고 소금 넣어 5분정도 데쳐주세요.\n이과정에서 이물질 및 땅콩껍질의 떫은 맛이 제거됩니다.', '데친 땅콩은 찬물에 씻어 물기를 빼주세요.', '냄비에 땅콩과 물을 넣고, 간장, 설탕, 들기름 그리고 분량의 조청 1큰술을 넣고 끓여주세요.\n바글바글 끓기 시작하면 중불로 줄이고 한번씩 저어가며 졸여주세요.', '냄비 바닥에 국물이 자작하게 남았을 때 센불로 올리고 남은 조청 1큰술을 넣고 빠르게 섞어가며 윤기를 내주세요.\n중불->센불', '이 상태가 되면 불을 꺼주세요. 완성입니다.']","['http://recipe1.ezmember.co.kr/cache/recipe/2018/10/18/2d7b139b3265a16eb8b8b0cb579a33871.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/10/18/40af0c1b7bfadad4bdf796c339cd1a0c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/10/18/b93b11b21247853de1ba59479237ed6c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/10/18/567fc010f97717430bc830866ff207ea1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/10/18/428f1f2b121e700543ab2bd5352d2d6f1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2018/10/18/05ce5cfefed4e431c710077ede19402f1.jpg']"
3,동태튀김 녹말가루,안심하고 먹을수 있는 수제어묵 만들기,[재료] 동태포 대하 물오징어 양파 깻잎 당근 달걀 튀김가루 녹말가루 식용유 [양념] 맛술 소금 후추가루,"['동태전을 부칠때 사용하시는 동태포를 다져줍니다~\n대하는 머리를 떼어내고 껍질을 벗겨 잘게 다져주시고요~\n물오징어 역시 깨끗이 씻어 껍질을 벗기고 다져주세요ㅎㅎ\n믹서나 블렌더를 사용하셔도 상관없지만\n칼로 잘게 다져주시는것이 식감이 더 좋답니다^^;;', '양파, 당근은 곱게 다져주시고\n깻잎은 쫑쫑 썰어 넣어주세요~', '준비된 모든 재료를 볼에 담고\n달걀흰자, 맛술, 소금, 후추가루에 튀김가루와 녹말을 1:1로 섞어 치대줍니다~\n튀김가루와 녹말가루는 재료들이 잘 어우러지게 하기 위한것임으로 농도를 봐가면서 튀기기 좋은 정도로 넣어주시면 되어요ㅎㅎㅎ', '점성이 생기도록 잘 치대어준 어묵반죽을\n원하시는 모양을 만들어 튀겨주시면 끝~~!!!ㅋ', '심술이는 동그란 볼 모양의 어묵을 만들어보았어요ㅎㅎㅎ\n중불에서 잘 달궈진 식용유에 어묵을 넣고 튀겨줍니다~\n생선살을 다져넣었기 때문에 익는 시간이 그리 오래 걸리지 않으니 색을 봐가면서 건져내시면 되어요~', '고소한 향과 식욕을 돋구는 예쁜 색감의 수제어묵이 탄생했네요~ㅋ\n접시에 담아 케찹이나 머스타드 소스를 곁들이면\n아이들 간식이나 손님들 술안주에도 그만이랍니다^^']","['http://recipe1.ezmember.co.kr/cache/recipe/2015/08/26/eef2882afd2474e6eacffee1f76c3c3b1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/08/26/bc1e9c0eefbab55928cd443f406f9b921.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/08/26/be5aafc0fa24e185c418089072f4c6661.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/08/26/f1512a8dd60e409f24cfcad85f70200b1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/08/26/01e5a846a9848be7de79c010dd2ffa811.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2015/08/26/575261af66e58b57a72a1bfe91fae5e71.jpg']"
4,탕수육,[중식조리기능사] 탕수육 만드는 방법,[재료] 돼지등심 200g 진간장 15ml 달걀 1개 녹말가루 100g 식용유 800ml 물 200ml 식초 50ml 백설탕 30g 대파 1토막 당근 30g 완두 15g 오이 1/10개 진목이버섯 2개 양파 1/4개 청주 15ml,"['돼지고기는 키친타올에 핏물을 제거하고 목이버섯은 물에 담궈 불려두세요.', '녹말가루에 물을 혼합하여 앙금녹말을 만들어 주세요\n물은 녹말가루가 적셔질 정도로 소량만 넣어주세요.', '끓는 물에 완두콩을 데친 후 찬물에 씻어 물기를 제거해주세요', '대파, 양파, 오이, 당근은 4cm X 1cm 길이로 잘라주세요.', '불려진 목이버섯은 한입크기로 찢어줍니다.', '돼지고기는 4cm X 1cm 크기로 썰어줍니다.', '썰어진 돼지고기에 간장, 술을 넣어 밑간을 해줍니다.\n간장이 너무 많이 들어가면 튀김색이 진해지므로 유의하세요', '그릇에 흰자를 풀어줍니다.(노른자X)', '밑간한 고기에 풀어준 흰자를 1큰술 정도 넣고 만들어 둔 앙금녹말을 넣어 반죽을 해줍니다.', '예열해둔 기름에 고기를 넣어 1차로 튀겨 줍니다.\n1. 기름에 반죽을 소량 넣어 2~3초 후에 떠오르면 적정 온도에요.\n2. 고기를 넣을때는 일자로 하나하나씩 넣어주세요.', '체로 돼지고기를 건져 기름기를 털어준 후 2차로 한번 더 튀겨줍니다.', '튀겨진 고기는 키친타올에 올려 기름기를 제거해주세요.', '냄비에 식용유 1큰술, 대파, 양파를 넣어 볶아주다가 청주 1큰술, 간장 1큰술, 물 1컵을 넣어 끓여줍니다.', '목이버섯, 당근을 넣어 끓여준 후 설탕 2큰술, 식초 3큰술을 넣어 끓여줍니다.', '녹말가루 2큰술, 물 2큰술을 섞어 물전분을 만들어 줍니다.', '끓은 소스에 오이, 완두콩을 넣고 만들어 둔 물전분을 넣어가며 소스 농도를 맞춰주세요.', '소스에 튀긴 고기를 넣고 살짝 섞어 줍니다.', '접시에 담아 완성 해주세요.']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/af08d239ff0635f9300c723ccd9210e81.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/a4745c15619edcef17ef3587f75cb7b31.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/bc81b3c921c371247950921953340d5f1.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/47a2b790d76f5e8fc4946ae9cc5e56491.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/eecaae9ac01feefba9382c587e0291821.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/0b08ce7af98960b350c4c83784b44e9e1.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/061b4d8ce34dd24dff14f0ec994b48a01.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/11d060b28ef557341f1aa0fdc1a3889e1.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/53f48daf4552d3dc52f6bb4dae85791a1.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/c79d6aae0edc027589721763cec2cced1.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/d22ff0b76d4b256804677abffc4a4b7f1.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/3d85182acbf8b39293b38f969ab9c2701.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/a9fe0d75eba89733b30eff88132380341.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/ff1d057c8be8dc77b742a766af07f3241.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/65735a5f2b434244ce06347682662f181.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/c6a518554ccfffe3c8c3eb89ec9dd85c1.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/cf33c08c0bc93864a4be0bcd5385fbc21.png', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/17/7b7633e3fc1588cb1e0f0c4d9dc02f4a1.png']"
5,달걀조림,밑반찬 매콤한 달걀조림,[재료] 삶은달걀 18개 청양고추 4개 홍고추 1개 대파 1/2대 [양념] 물 1컵 간장 1컵 맛술 1/2컵 설탕 2큰술 다진마늘 1큰술 굴소스 1작은술,"['삶은 달걀을 준비 해주세요.', '청양고추,홍고추대파는 다져 주세요.', '위의 분량의 양념을 넣고 양념장을 만들어 주세요.', '팬에 양념장을 붓고 달걀을 넣고 끓여 주세요.', '청양고추, 홍고추, 대파를 넣고', '국물이 거의 졸아 들때 까지 조려주세요.', '보관 용기에 담아 주세요.']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/09/28/74eb22f056922523fc7b965df44c190b1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/28/0c06dbc46c25c9e51e69d608c039061e1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/28/0adc5077811c9c00b6b65a97bb0952551.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/28/4155c569aa3b14edb9b524e1977487401.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/28/a1bda5d65b5c89ed945d6e88804de3831.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/28/10fb24f1aab6a7b5d02b35623917c34a1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/09/28/d464a557d855aa1fa4c4e4047fc77c941.jpg']"
6,적어튀김,풋고추 꼬막 튀김,[재료] 풋고추 9~10개 꼬막살 1컵 체다치즈 3장 밀가루 11/2컵 식용유 넉넉히 물 2/3컵 [양념] 굴소스 1작은술 맛술 1큰술,"['재료를 준비 해주세요.', '*풋고추는 한쪽만 잘라 주세요.\n*가위로 하면 쉽게 할수 있습니다.', '*꼬막은 물기를 꼭 짜 준 후 *굴소스와 맛술을 넣고 섞어 주세요.', '체다 치즈는 4등분 으로 잘라 주세요.', '*반으로 가른 풋고추 안쪽으로 밀가루를 발라 주세요.\n*밀가루 1컵에 물을 붓고 저어 튀김 반죽을 만들어 주세요.', '고추안에 체다 치즈 한쪽을 넣고 꼬막을 가지런히 채워 주세요.', '그 위에 밀가루를 뿌리고 꼭꼭 눌려 주세요.', '기름 온도가 올라가면 풋고추에 튀김 반죽을 입힌 후 튀겨 주세요.', '*예쁘게 썰어서 담아 주세요.\n*허니머스타드도 같이 담아 주세요.']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/11/06/e5ccd1aea656ef0519a800aafe079f161.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/06/f917883af84d7f55075158e761e196a51.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/06/48f2762f731b96f849a8b4e923a625211.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/06/814a65b8808164d7d5150a00f7d64ee21.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/06/04654aa7fe35ae9c9332cadb2e957cc21.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/06/27c50b7c6f38d4b2bd1fced955011fd01.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/06/1a73e40ef9f4c151faf4e1eb52079bd21.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/06/3f10fa81f4d8c477a2c90951a4d694a31.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/11/06/79d564ba8873f627ce33cd257adc204f1.jpg']"
7,계란후라이,"봄소풍,봄나들이 플라워 계란후라이 도시락~*",[재료] 달걀 1 스팸 [볶음밥재료] 호박 적당량 당근 적당량 양파 적당량 스팸 적당량 [양념] 굴소스 1/2큰술 후추톡톡 식용유,"['먼저 5mm 정도 두께로 자른 햄을 둥근 틀을 이용해서 동그랗게 찍어 낸다', '동그랗게 찍어낸 햄을\n반으로 자른 후', '둥근 틀을 이용해 사진처럼 초승달 모양으로 잘라낸다', '잘라낸 초승달 모양의 햄이 6~8개 정도면 계란후라이 1개를 만들 수 있당', '불을 켜지 않은 팬에 먼저\n끝이 벌어지지 않도록\n햄을 꽃모양으로 만들어 준다\n계란이 들어갈 자리에는\n기름을 조금 뿌려준다', '계란 하나를 조심히 깨넣고\n약불에서 서서히 익혀준다\n이렇게 만들어 햄 플라워\n계란 후라이를 완성시켜 준비한다\n다음은 볶음밥을 만들거예욤', '위 모양 틀로 찍고 남은\n햄과 당근,양파,호박\n다져 팬에 담고', '굴소스 ,후추톡톡\n식용유를 두르고\n슥슥~ 볶아준 다음\n(이때 굴소스에 간은 취향껏 가감요)', '밥 1인 분량을 넣고', '고루 슥슥~ 볶아준다', '볶음밥을 도시락에 담아준다', '위 만들어 놓은 플라워\n계란 후라이를 볶음밥 위\n올려주고', '김으로 계란 노른자 위\n눈과 입을 만들어 준다\n(케릭은 마음대로 만들어용)', '초록색 야채가 파밖에\n없어 대파를 잘게 썰어\n밑쪽에 깔아 주었어요\n(오이,깻잎을 이용해도 좋다)\n대코는 마음대로 꾸며주면 된다']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/03/31/fe98b9e4301a3167fa6165fb81a7326f1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/31/de977dd3f404a376b8cf2a7e54a9afae1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/31/524033eb60afbc77bcd29df91dea4b4a1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/31/292d38ec3a821fc4146684a77e3f527d1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/31/0ab6dcc789d2ab43033c5885c64ecaac1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/31/5fbb13744f3ec95d33462fffe0978a5e1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/31/8b7bad73e1d1f8553bca69f119280f041.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/31/002a60e2e229e9483f09c9e0632a285b1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/31/f7d667c8f3a7d770290cb467e13a08ad1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/31/181f5ec4f4718a374797991ab56b32ae1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/31/b6c86dcf1a414663aaa983acc19d87531.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/31/e5000fcdab3ead668b2ec6ad238f90e91.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/31/bcf3af33bb93c33b583ffb980f468ecd1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/03/31/7d79ac22743f19849b9b0dcb3668727e1.jpg']"
8,냉이국,냉이국 끓이기,[재료] 냉이 잔새우 멸치 1줌 다진마늘 된장 물,"['냉이는 뿌리 부분의 흙을 제거하며 다듬어주세요.', '잘 다듬어준 냉이는 흐르는 물에 5번 정도 씻어주고 체에 받쳐 물기를 제거한 후 준비해주세요.', '멸치를 한 줌 정도 넣고 찬 물을 넣고 끓여 육수를 내주세요.', '된장을 풀어주고 냉이도 넣어 끓여주세요.', '다진 마늘을 넣고 잔 새우도 넣어주세요.', '대파가 있으면 어슷 썰어 넣어주시고, 기호에 따라 매콤한 청양고추를 넣어주셔도 맛있어요.', '바지락이나 모시 조개 등이 있으면 육수를 내주시고, 없으면 멸치다시육수나 새우 등을 넣어주셔도 맛있어요. 냉이는 노지에서 수확한 것과는 다르게 흙이 별로 없으니, 평소 손질이 번거로워 안 드시던 분들이 계신다면 어렵지 않으니 사다가 끓여 드세요. 냉이국을 끓일 때, 중간 중간에 올라오는 거품은 걷어주시는 게 깔끔한 국물 맛을 위해 좋아요. 향이 강하진 않아도 향긋함은 느낄 수 있는 냉이국 끓이기, 오늘 저녁 반찬으로 준비해보시는 건 어떨까요?']","['http://recipe1.ezmember.co.kr/cache/recipe/2016/04/20/a1ad536382f12b1cbdfaa6e52fb391571.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/04/20/56011a214ea7bbdb91736882abe7c7fc1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/04/20/20f5da12add833a324a68483e853b1001.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/04/20/56f153a5be8a564cfa1eb2e9b1fc47c11.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/04/20/d52518a1bd46f50ec5ca1a9e65f4c3891.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/04/20/6559433bdd33336804cf1eabad83b7711.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2016/04/20/a87abef1b68d5ed4b2c7eeb855a64cd81.jpg']"
9,조기찜,부드러운 조기찜 만드는 법,[재료] 잘 손질한 조기 3마리 간장 1t 간마늘 1/2t 파 1꼬집 고춧가루 1꼬집 설탕 1/2t 청주 1/2t,"['추석차례상에도 빠질 수 없는 요리지요.\n자 그럼 맛있게 조기찜 만들기를 시작해 볼까요?\n조끼찜 만들기 시작', '조기는 지느러미를 제거하고 비늘도 잘 제거해서\n꼬리갈 걸리는 등지느러미까지 다 말끔하게 제거해 주세요.\n그리고 조기찜 양념만들기를 할껀데요.\n물약간에 간장\n간마늘\n설탕\n청주\n고춧가루\n요렇게 넣고 저어주세요.', '그리고 달구어진 후라이팬에 파기름을 약간 두르고요\n그위에 조기를 올려 주세요,.\n그리고 그 위에 준비해둔 양념장을 솔솔 뿌려 주세요.\n참 조기는 칼집을 넣어 주심 양념이 더 잘 배어요.\n근데 뒤집을 때 으스러 지는 것이 싫으신 분들은\n칼집은 넣지 마세요', '그리고 살살 약불에서 익혀가면서\n뒤집어 주세요.\n너무 자주 뒤집으면 살이 약해서 으스러 질 수 있고\n모양이 흐트러지니 너무 자주 뒤집지 마세요.\n그리고 양념을 졸여 주시면\n완성']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/02/15/71c5d2fa08c7eef2aab22a44119c59a71.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/02/15/0b02fe10ea87a4e31eeb82370744f44a1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/02/15/55d7be2de9fc50c33346d7f4456691491.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/02/15/613038a0493ee3331d5da6ac31c402341.jpg']"
10,베이컨튀김,"알찬 도시락, 베이컨말이주먹밥, 새우튀김, 샌드위치, 오렌지치킨, 소시지볶음",[고구마햄치즈샌드위치] 식빵 4장 찐고구마 1개 계란 2개 오이 1/2개 양파 1/2개 햄 치즈 적당량 마요네즈 적당량 소금 후추 설탕 적당량 [오렌지치킨] 닭고기 넓적다리살 2컵 우유 1컵 소금 후추 적당량 전분가루 2/3컵 오렌지치킨소스 [햄김치베이컨말이밥] 햄 1/2컵(쫑쫑썸) 김치 1/2컵(쫑쫑썸) 간장 1큰술 설탕 1/2큰술 참기름 1작은술 베이컨 적당량 밥 적당량 [새우튀김] 새우 5~10마리 소금 후추 적당량 밀가루 1컵 계란 2개 빵가루 1컵 [소시지케찹볶음] 소시지 10개 케찹 2큰술 허니머스터드 2큰술,"['*샌드위치*\n고구마와 계란은 익혀서,\n오이는 소금에 살짝 절여\n물기 없이 꼬옥~짜 놓고\n양파는 얇게 슬라이스 후\n찬물에 담구어\n아린맛을 뺀 후\n물기없이 준비합니다.', '달걀 등 모든 재료를\n잘게 썰어넣고\n설탕을 휘리릭 뿌리고\n소금, 후추로 간을 합니다.', '마요네즈를 넣고\n잘 버무려\n샌드위치 빵에\n발라줍니다.', '도시락 크기에 맞게\n썰어 줍니다.\n샌드위치 완성!', '*오렌지치킨*\n닭고기살을\n한입크기로 자른 후\n우유에 담그고\n소금과 후추를 뿌려\n15분간 재웠다가\n가볍게 헹구어\n물기 없이 준비.', '전분가루나\n타피오카가루를\n비닐에 넣은 후\n닭고기를 넣고 흔들어\n잘 묻힌다음\n바~삭! 하게 2번을\n튀겨냅니다.', '오렌지소스를 넣고\n한 번 볶아주면 완성!\n오렌지소스:오렌지쥬스1/2커1 + 진간장1큰술 + 설탕1큰술 + 굴소스1작은술 + 식초1큰술 + 참기름 1/2작은술+녹말가루1작은술', '*베이컨말이밥*\n햄과 김치를 잘게 썰어\n기름 두른 달구어진 팬에\n약간의 간장과 설탕,\n참기름 몇 방울을 넣고 빠싹!\n달달 볶은 후 한 김 식힙니다.', '한큰술반 양의 밥 안에\n볶은햄김치를 넣고\n잘 아물러 준 다음,\n반을 자른 베이컨에\n돌돌 말아요.', '말린 마무리 끝부분부터\n팬에 올려 익힙니다.\n베이컨이 먹음직스럽게\n노릇하게 되면 꺼내\n키친타올에 올려\n기름 빼면 완성!', '*새우튀김*\n새우는 머리와 껍질은\n제거하고 꼬리쪽에 뾰족한\n물총부분도 제거합니다.\n배 쪽으로 가위집 4~5번만\n내 주면 튀길때 말림이\n방지됩니다.', '새우에 소금, 후추간\n살짝 하고\n(계란에 해도 되요)\n밀가루-계란-빵가루 순으로\n(밀계빵)\n튀김옷을 입힙니다.', '나무젓가락을 넣었을때\n끝에서 기포가 올라오는\n기름 온도에 넣고\n튀겨냅니다.', '키친타올에 올려\n기름을 뺍니다.\n완성입니다.', '*소시지케찹볶음*\n소시지를 모양을 낸 후,\n케찹과 허니머스터드를\n각각 2큰술씩 잘 섞어\n소스를 만듭니다.\n팬에서 소시지를 볶다가\n소스를 넣어 마저 바싹!\n볶으면 완성!! 입니다.', '기름기를 최대한으로\n제거한 내용물들을\n보기좋게 담습니다.', '과일도 제철과일로\n곁들입니다.', '맛있는 도시락으로\n좋은 시간 되세요~']","['http://recipe1.ezmember.co.kr/cache/recipe/2019/01/09/26551343c3d15b7daa8491335fcc52ad1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/09/5387cbc65d541fd8b9504900e747826d1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/09/f74fdcc57985b2bc82b0ca70c6e2e8d01.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/09/c35702128672214f7a45e729d1d082011.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/09/7e99e425ed9a2cee3138f065feb9e64b1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/09/768db9561157b4f13e417141bd77eeb81.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/09/dc305f1774e19dd40fa73dcad6be7f2c1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/10/cda81efd4668a7ab91fb40d3a335b9261.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/10/2ba9ce77a479eb3d352567f719d867621.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/10/aa0e174d1aed3fae9616cdb43c2aca4f1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/10/12fcd472f6c2ad72e527c6335a389dd21.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/10/342823df6912689f353c5cfcdc8c10461.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/10/6eecc97445f6eb1fb1a553a47ed76f581.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/10/0c030d792a7e223c78b6fb9ed727c6481.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/10/515d41bff0b742539adbd09b9e5b21d71.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/10/ca83b538d14bc0c9f6db07902081eeb61.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/10/6256a3d162faa6ed8dae91a41ce9dbdb1.jpg', 'http://recipe1.ezmember.co.kr/cache/recipe/2019/01/10/ac540adfd39a18f72eec47584c8c8bde1.jpg']"
